Word,Frequency
ও,269346
করে,154984
থেকে,142478
এ,129843
nan,127530
করা,122231
এই,103800
এবং,102514
"বলেন,",89965
তার,85818
জন্য,79673
নিয়ে,72105
তিনি,71187
করতে,66287
না,63639
এক,63296
একটি,60149
সঙ্গে,59142
হয়েছে।,56225
তাদের,55690
মধ্যে,55632
হয়ে,52439
হয়।,51028
এর,49001
আর,48575
হাজার,47257
বলে,46287
হবে।,45165
পর,44770
সময়,43237
কোনো,42316
আমরা,42195
না।,42029
দিয়ে,40418
তবে,40360
কথা,37859
বাংলাদেশ,36910
আমাদের,36259
গত,36256
যে,35948
করার,35879
শেখ,35702
তারা,35632
শুরু,35520
হবে,35489
বিভিন্ন,35136
কাজ,34519
কিন্তু,33578
দেশের,33232
করোনা,33108
হিসেবে,31724
পর্যন্ত,31518
এখন,30738
আগে,30700
হয়েছে,30515
তা,30482
করেন,30045
সব,29308
হয়,28938
দুই,28289
নতুন,27936
ওই,27035
টাকা,26856
লাখ,26801
সেই,26671
কারণে,25619
বা,25303
প্রধানমন্ত্রী,25109
তাকে,25071
"জানান,",25063
দেয়া,25032
প্রথম,24869
আমি,24836
মাধ্যমে,24793
বছর,24763
দেখা,24198
ঢাকা,24148
অনেক,24086
জাতীয়,23936
কিছু,23822
আরো,23764
মো.,23566
সাধারণ,23197
করেন।,23096
সম্পাদক,23063
বাংলাদেশের,22971
সে,22820
পুলিশ,22715
আমার,22432
কোটি,22386
জন,22199
হতে,21835
আওয়ামী,21735
ছিল,21644
বেশি,21630
শেষ,21071
কাছে,21050
করেছেন,21008
বিষয়ে,20941
দেশে,20568
তথ্য,20285
এসব,20237
মানুষের,20010
করেছে,19997
হলে,19761
এমন,19746
দিন,19555
সরকার,19414
ইসলাম,19319
দিকে,19250
হচ্ছে,19097
পরে,19029
প্রায়,19014
প্রধান,18998
মতো,18864
বিরুদ্ধে,18573
তাই,18402
দিতে,18234
নিশ্চিত,18219
সদস্য,18153
আরও,18124
সালে,17849
দলের,17734
১,17718
তিনি।,17666
সভাপতি,17583
আজ,17504
করে।,17419
সালের,17290
বড়,17240
বলা,17213
আক্রান্ত,17066
রহমান,17063
স্বাস্থ্য,17037
হাসপাতালে,16961
বন্ধ,16951
ব্যবস্থা,16733
সরকারের,16724
হোসেন,16676
লীগের,16561
উপজেলা,16506
জেলা,16477
বছরের,15903
মনে,15834
প্রতি,15736
১০,15522
ধরে,15505
জানা,15483
উপজেলার,15436
হচ্ছে।,15388
